,Landmark name,Image,Date designated,Location,Description
19,Fenway Studios,Fenway Studios,"August 5, 1998
(#78000473)","Fenway–Kenmore
 42°20′51″N 71°05′23″W﻿ / ﻿42.3475°N 71.0898°W﻿ / 42.3475; -71.0898﻿ (Fenway Studios)",This building was purpose-built as studios for artists in 1904–1905 in the Arts and Crafts style.
20,First Harrison Gray Otis House,First Harrison Gray Otis House More images,"December 30, 1970
(#70000539)","141 Cambridge St.
West End
 42°21′40″N 71°03′53″W﻿ / ﻿42.3612°N 71.0646°W﻿ / 42.3612; -71.0646﻿ (First Harrison Gray Otis House)","Home built for Federalist Party leader Harrison Gray Otis, designed by architect Charles Bulfinch."
21,Fort Warren,Fort Warren More images,"May 22, 1970
(#70000540)","Georges Island
 42°19′13″N 70°55′39″W﻿ / ﻿42.3202°N 70.9276°W﻿ / 42.3202; -70.9276﻿ (Fort Warren)","A 19th-century fortification built in Boston Harbor, Fort Warren saw service through the First World War. It is named for Dr. Joseph Warren, a Revolutionary War political leader who was killed in the Battle of Bunker Hill."
22,William Lloyd Garrison House,William Lloyd Garrison House,"June 23, 1965
(#66000653)","125 Highland St.
Roxbury
 42°19′33″N 71°05′36″W﻿ / ﻿42.3258°N 71.0932°W﻿ / 42.3258; -71.0932﻿ (William Lloyd Garrison House)","Home of abolitionist leader William Lloyd Garrison, publisher of the anti-slavery newspaper The Liberator."
23,Gibson House,Gibson House More images,"August 7, 2001
(#01001048)","137 Beacon Street
Back Bay
 42°21′18″N 71°04′28″W﻿ / ﻿42.3549°N 71.0745°W﻿ / 42.3549; -71.0745﻿ (Gibson House)","This Victorian rowhouse is believed to be the only one of its type to preserve both internal and external architectural design elements. Designed by architect Edward Clarke Cabot, the house remained in one family until being opened as a house museum in 1957."
24,Chester Harding House,Chester Harding House More images,"December 21, 1965
(#66000764)","16 Beacon Street
Beacon Hill
 42°21′29″N 71°03′45″W﻿ / ﻿42.358°N 71.0625°W﻿ / 42.358; -71.0625﻿ (Chester Harding House)",Federal style home of portrait artist Chester Harding.
25,Harvard Stadium,Harvard Stadium More images,"February 27, 1987
(#87000757)","95 North Harvard St.
Allston
 42°21′59″N 71°07′38″W﻿ / ﻿42.3664°N 71.1272°W﻿ / 42.3664; -71.1272﻿ (Harvard Stadium)","Built in 1903, this stadium was the prototype for numerous other stadia, and was at the time the largest structure constructed from reinforced concrete."
26,Samuel Gridley and Julia Ward Howe House,Samuel Gridley and Julia Ward Howe House,"May 30, 1974
(#74002044)","13 Chestnut Street
Beacon Hill
 42°21′28″N 71°04′00″W﻿ / ﻿42.3577°N 71.0668°W﻿ / 42.3577; -71.0668﻿ (Samuel Gridley and Julia Ward Howe House)","Home of noted abolitionists Julia Ward Howe and Samuel Gridley Howe, designed by Charles Bulfinch."
27,King's Chapel,King's Chapel More images,"October 9, 1960
(#74002045)","Corner of Tremont and School Street
Downtown
 42°21′29″N 71°03′37″W﻿ / ﻿42.3580°N 71.0604°W﻿ / 42.3580; -71.0604﻿ (King's Chapel)","Now home to a Unitarian Universalist congregation, King's Chapel was built on the site of the first Anglican church in Boston."
28,"Lightship No. 112, ""Nantucket""","Lightship No. 112, ""Nantucket"" More images","December 20, 1989
(#89002464)","East Boston
 42°21′40″N 71°02′07″W﻿ / ﻿42.3612°N 71.0353°W﻿ / 42.3612; -71.0353﻿ (Lightship No. 112, ""Nantucket"")","The largest lightship ever built, and the last active lightship at the time of its nomination."
29,Long Wharf and Custom House Block,Long Wharf and Custom House Block More images,"November 13, 1966
(#66000768)","Foot of State Street
Boston
 42°21′37″N 71°02′55″W﻿ / ﻿42.3603°N 71.0487°W﻿ / 42.3603; -71.0487﻿ (Long Wharf and Custom House Block)","This wharf was constructed in the early 18th century, and was for many years one of the busiest commercial wharves in Great Britain's North American colonies. The wharf has been much shortened by land reclamation, and is now home to a hotel and other businesses."
30,Massachusetts General Hospital,Massachusetts General Hospital More images,"December 30, 1970
(#70000682)","55 Fruit Street
West End
 42°21′49″N 71°04′03″W﻿ / ﻿42.3635°N 71.0676°W﻿ / 42.3635; -71.0676﻿ (Massachusetts General Hospital)","The original building for the Massachusetts General Hospital, one of the nation's earliest public hospitals, was designed by Charles Bulfinch. It is the location of the Ether Dome, also a National Historic Landmark."
31,Massachusetts Historical Society Building,Massachusetts Historical Society Building More images,"December 21, 1965
(#66000770)","1154 Boylston St.
Fenway–Kenmore
 42°20′48″N 71°05′24″W﻿ / ﻿42.3467°N 71.0900°W﻿ / 42.3467; -71.0900﻿ (Massachusetts Historical Society Building)","This building (built 1899) is home to the Massachusetts Historical Society, the oldest (founded 1791) historic society in the nation."
32,Massachusetts Statehouse,Massachusetts Statehouse More images,"December 19, 1960
(#66000771)","Beacon Hill
 42°21′30″N 71°03′50″W﻿ / ﻿42.3584°N 71.064°W﻿ / 42.3584; -71.064﻿ (Massachusetts Statehouse)","The state's capitol building, it was built in the 1790s to a design by Charles Bulfinch, with major additions executed in the 1890s to designs by Charles Brigham. The dome was originally sheathed by copper rolled by Paul Revere, but is now covered in gold leaf."
33,William C. Nell Residence,William C. Nell Residence More images,"May 11, 1976
(#76001979)","3 Smith Ct
Beacon Hill
 42°21′36″N 71°03′55″W﻿ / ﻿42.3601°N 71.0654°W﻿ / 42.3601; -71.0654﻿ (William C. Nell Residence)",Home of abolitionist and education advocate William Cooper Nell.
34,New England Conservatory of Music,New England Conservatory of Music More images,"April 19, 1994
(#80000672)","30 Gainsborough Street
Fenway–Kenmore
 42°20′29″N 71°05′12″W﻿ / ﻿42.3413°N 71.0867°W﻿ / 42.3413; -71.0867﻿ (New England Conservatory of Music)","The conservatory's 1903 building houses Jordan Hall, a performance space noted for its excellent acoustics."
35,New England Hospital for Women and Children,New England Hospital for Women and Children More images,"July 17, 1991
(#85000317)","41 and 55 Dimock St.
Roxbury
 42°19′11″N 71°05′51″W﻿ / ﻿42.3197°N 71.0976°W﻿ / 42.3197; -71.0976﻿ (New England Hospital for Women and Children)","Designed by Charles Amos Cummings and Willard T. Sears and opened in 1872, this facility was the first public hospital run by women doctors in New England. The organization is now known as the Dimock Center."
36,Old City Hall (Boston),Old City Hall (Boston) More images,"December 30, 1970
(#70000687)","45 School St.
Downtown
 42°21′29″N 71°03′33″W﻿ / ﻿42.3580°N 71.0593°W﻿ / 42.3580; -71.0593﻿ (Old City Hall (Boston))","This building was one of the first in the nation to be designed in the Second Empire style, and served as a prototype for other such buildings, including the Old Executive Office Building in Washington, DC. Designed by Gridley James Fox Bryant and Arthur Gilman, it served as city hall from 1865 to 1969."
37,Old North Church,Old North Church More images,"January 20, 1961
(#66000776)","193 Salem St.
North End
 42°21′59″N 71°03′17″W﻿ / ﻿42.3665°N 71.0546°W﻿ / 42.3665; -71.0546﻿ (Old North Church)","This church, built in 1723 in a style inspired by English architect Christopher Wren, is the oldest active church building in Boston. It was where Paul Revere ordered lanterns hung (""one if by land, two if by sea, and I on the opposite shore will be"") to notify others of British troop movements prior to the Battles of Lexington and Concord."
38,Old South Church in Boston,Old South Church in Boston More images,"December 30, 1970
(#70000690)","645 Boylston St.
Back Bay
 42°21′00″N 71°04′40″W﻿ / ﻿42.3500°N 71.0777°W﻿ / 42.3500; -71.0777﻿ (Old South Church in Boston)","Built in 1873 to designs by Charles Amos Cummings and Willard T. Sears, this church is home to one of the city's oldest congregations (established 1670)."
39,Old South Meeting House,Old South Meeting House More images,"October 9, 1960
(#66000778)","310 Washington St.
Downtown Crossing
 42°21′25″N 71°03′31″W﻿ / ﻿42.3570°N 71.0587°W﻿ / 42.3570; -71.0587﻿ (Old South Meeting House)","An active church as well as a museum, this 1729 building was where the Boston Tea Party was planned on December 16, 1773. It was also the site of other Revolutionary era public gatherings."
40,Old State House,Old State House More images,"October 9, 1960
(#66000779)","206 Washington St.
Downtown Crossing
 42°21′31″N 71°03′27″W﻿ / ﻿42.3587°N 71.0574°W﻿ / 42.3587; -71.0574﻿ (Old State House)","This building, constructed 1712, served as the seat of Massachusetts colonial and state government until 1793, when the current state house was built. It was outside this building that the Boston Massacre took place on March 5, 1770."
41,Old West Church,Old West Church More images,"December 30, 1970
(#70000691)","131 Cambridge St.
West End
 42°21′41″N 71°03′51″W﻿ / ﻿42.3613°N 71.0642°W﻿ / 42.3613; -71.0642﻿ (Old West Church)","This 1806 church (designed by Asher Benjamin) was built on the site of an earlier church whose congregation was noted for its opposition to British rule. Its most famous preacher of the Revolutionary era was Jonathan Mayhew, who may have coined the phrase ""no taxation without representation""."
42,Francis Parkman House,Francis Parkman House More images,"December 29, 1962
(#66000782)","50 Chestnut St.
Beacon Hill
 42°21′26″N 71°04′07″W﻿ / ﻿42.3573°N 71.0686°W﻿ / 42.3573; -71.0686﻿ (Francis Parkman House)",Home of noted historian and horticulturalist Francis Parkman.
43,Pierce–Hichborn House,Pierce–Hichborn House More images,"October 18, 1968
(#68000042)","29 North Square
North End
 42°21′49″N 71°03′13″W﻿ / ﻿42.3636°N 71.0536°W﻿ / 42.3636; -71.0536﻿ (Pierce–Hichborn House)","This house is a rare pre-Georgian brick house, built circa 1711. It is next door to the Paul Revere House, and owned by the Paul Revere Memorial Association."
44,William H. Prescott House,William H. Prescott House More images,"December 29, 1964
(#66000765)","55 Beacon Street
Beacon Hill
 42°21′24″N 71°04′06″W﻿ / ﻿42.3566°N 71.0683°W﻿ / 42.3566; -71.0683﻿ (William H. Prescott House)","Also known as Headquarters House, this 1808 house (one half of a duplex rowhouse) was designed by Asher Benjamin and was home of the noted blind historian William H. Prescott."
45,Quincy Market,Quincy Market More images,"November 13, 1966
(#66000784)","South Market St.
Downtown
 42°21′37″N 71°03′18″W﻿ / ﻿42.3602°N 71.055°W﻿ / 42.3602; -71.055﻿ (Quincy Market)","Constructed under the auspices of Boston Mayor Josiah Quincy in the 1820s, the market was designed by architect Alexander Parris and built on land made by filling part of the harbor. The market is a popular tourist site."
46,Paul Revere House,Paul Revere House More images,"January 20, 1961
(#66000785)","19 North Square
North End
 42°21′50″N 71°03′13″W﻿ / ﻿42.3638°N 71.0536°W﻿ / 42.3638; -71.0536﻿ (Paul Revere House)","This house is Boston's oldest surviving house (built 1680). It was home to Revolutionary War hero, silversmith, and early industrialist Paul Revere, and is now a house museum on the city's Freedom Trail."
47,Ellen Swallow Richards Residence,Ellen Swallow Richards Residence More images,"March 31, 1992
(#92001874)","32 Eliot St.
Jamaica Plain
 42°18′42″N 71°07′03″W﻿ / ﻿42.3117°N 71.1175°W﻿ / 42.3117; -71.1175﻿ (Ellen Swallow Richards Residence)","Home of Ellen Swallow Richards, who was the first female graduate of the Massachusetts Institute of Technology, and the first woman to receive an advanced degree in chemistry."
48,Roseway (Schooner),Roseway (Schooner) More images,"September 25, 1997
(#97001278)","Boston Harbor
 44°12′38″N 69°03′46″W﻿ / ﻿44.210556°N 69.062778°W﻿ / 44.210556; -69.062778﻿ (Roseway (Schooner))","Launched on November 24, 1925, in Essex, this wooden gaff-rigged schooner was used primarily for competitive racing."
49,St. Paul's Church,St. Paul's Church More images,"December 30, 1970
(#70000730)","130 Tremont Street
Beacon Hill
 42°21′21″N 71°03′45″W﻿ / ﻿42.3559°N 71.0626°W﻿ / 42.3559; -71.0626﻿ (St. Paul's Church)","This Greek Revival church was built in 1819 to a design by Alexander Parris. It was the first Episcopal church built in post-independence Boston, and is now the cathedral church of the Episcopal Diocese of Massachusetts."
50,David Sears House,David Sears House More images,"December 30, 1970
(#70000731)","42-43 Beacon Street
Beacon Hill
 42°21′24″N 71°04′00″W﻿ / ﻿42.3568°N 71.0667°W﻿ / 42.3568; -71.0667﻿ (David Sears House)","This 1816 townhouse was owned by David Sears, a Boston developer, politician, and philanthropist. The Federal-style structure has a facade of carved granite."
51,Shirley–Eustis House,Shirley–Eustis House More images,"October 9, 1960
(#66000787)","33 Shirley St.
Roxbury
 42°19′25″N 71°04′19″W﻿ / ﻿42.3236°N 71.0720°W﻿ / 42.3236; -71.0720﻿ (Shirley–Eustis House)","Built in the late 1740s by colonial governor William Shirley, this Georgian house was also home to Massachusetts Governor William Eustis."
52,Charles Sumner House,Charles Sumner House More images,"November 7, 1973
(#73001953)","20 Hancock St.
Beacon Hill
 42°21′37″N 71°03′52″W﻿ / ﻿42.3604°N 71.0644°W﻿ / 42.3604; -71.0644﻿ (Charles Sumner House)","This c. 1806 Federal-style townhouse was home to Charles Sumner, a US Senator and vocal abolitionist."
53,Symphony Hall,Symphony Hall More images,"January 20, 1999
(#99000633)","301 Massachusetts Ave.
Fenway–Kenmore
 42°20′33″N 71°05′09″W﻿ / ﻿42.3426°N 71.0858°W﻿ / 42.3426; -71.0858﻿ (Symphony Hall)","This hall has been home to the Boston Symphony Orchestra since 1900, when it was built to a design by McKim, Mead, and White. The performance space is noted for its excellent acoustics."
54,Tremont Street Subway,Tremont Street Subway More images,"January 29, 1964
(#66000788)","Downtown
 42°21′17″N 71°03′50″W﻿ / ﻿42.3547°N 71.0640°W﻿ / 42.3547; -71.0640﻿ (Tremont Street Subway)","The oldest subway tunnel in North America, this tunnel entered service in 1897, and is still in service today."
55,Trinity Church,Trinity Church More images,"December 30, 1970
(#70000733)","Copley Square
Back Bay
 42°21′00″N 71°04′29″W﻿ / ﻿42.3501°N 71.0746°W﻿ / 42.3501; -71.0746﻿ (Trinity Church)","Built in the 1870s to a design by H. H. Richardson, this church is an archetype of the Richardsonian Romanesque style, and is recognized as one of the ""Ten Most Significant Buildings in the United States"" by the American Institute of Architects. Its congregation dates to the 1730s."
56,William Monroe Trotter House,William Monroe Trotter House More images,"May 11, 1976
(#76002003)","97 Sawyer Ave.
Dorchester
 42°18′46″N 71°03′45″W﻿ / ﻿42.3127°N 71.0624°W﻿ / 42.3127; -71.0624﻿ (William Monroe Trotter House)","Home of African-American journalist and Harvard graduate William Monroe Trotter. Trotter publisher The Guardian, and meetings of African-American activists, W. E. B. Du Bois among them, took place at this house."
57,Union Oyster House,Union Oyster House More images,"May 27, 2003
(#03000645)","41-43 Union St.
Downtown
 42°21′40″N 71°03′25″W﻿ / ﻿42.3612°N 71.0569°W﻿ / 42.3612; -71.0569﻿ (Union Oyster House)","This is the oldest operating restaurant in the United States, opened in 1826. The building is at least 100 years older, dating roughly to the first decade of the 18th century."
