,Landmark name,Image,Date designated,Location,County,Description
11,Bell Laboratories Building,Bell Laboratories Building More images,"May 15, 1975
(#75001202)","Manhattan
 40°44′13″N 74°00′36″W﻿ / ﻿40.736852°N 74.009871°W﻿ / 40.736852; -74.009871﻿ (Bell Laboratories Building)",New York,"Bell Labs work here included experimental  phonograph record, vacuum tubes, talking movies (1923), black and white and color TV, radar, and early commercial remote broadcasts. Today home to the Westbeth Artists Community (listed separately on the National Register of Historic Places)."
12,Brooklyn Bridge,Brooklyn Bridge More images,"January 29, 1964
(#66000523)","Brooklyn and Manhattan
 40°42′23″N 73°59′51″W﻿ / ﻿40.706344°N 73.997439°W﻿ / 40.706344; -73.997439﻿ (Brooklyn Bridge)",Kings and New York,The first steel wire suspension bridge; at one point the largest in the world
13,Brooklyn Heights Historic District,Brooklyn Heights Historic District More images,"January 12, 1965
(#66000524)","Brooklyn
 40°41′48″N 73°59′48″W﻿ / ﻿40.696667°N 73.996667°W﻿ / 40.696667; -73.996667﻿ (Brooklyn Heights Historic District)",Kings,Exemplary collection of 19th-century architectural styles; first historic district in New York City
14,Center for Brooklyn History,Center for Brooklyn History More images,"July 17, 1991
(#91002054)","Brooklyn
 40°41′41″N 73°59′34″W﻿ / ﻿40.694761°N 73.992794°W﻿ / 40.694761; -73.992794﻿ (Center for Brooklyn History)",Kings,One of the few remaining buildings by George B. Post; innovative structural system
15,Ralph Johnson Bunche House,Ralph Johnson Bunche House More images,"May 11, 1976
(#76001266)","Kew Gardens
 40°42′23″N 73°50′13″W﻿ / ﻿40.70646°N 73.836998°W﻿ / 40.70646; -73.836998﻿ (Ralph Johnson Bunche House)",Queens,"Home of Ralph Johnson Bunche, eminent African-American diplomat and Undersecretary General of United Nations"
16,Carnegie Hall,Carnegie Hall More images,"December 29, 1962
(#66000535)","Manhattan
 40°45′54″N 73°58′49″W﻿ / ﻿40.764944°N 73.980139°W﻿ / 40.764944; -73.980139﻿ (Carnegie Hall)",New York,One of the most famous music venues in the world
17,Andrew Carnegie Mansion,Andrew Carnegie Mansion More images,"November 13, 1966
(#66000536)","Manhattan
 40°47′04″N 73°57′28″W﻿ / ﻿40.784421°N 73.95789°W﻿ / 40.784421; -73.95789﻿ (Andrew Carnegie Mansion)",New York,"Home of Andrew Carnegie, now the Cooper-Hewitt, National Design Museum"
18,Central Park,Central Park More images,"May 23, 1963
(#66000538)","Manhattan
 40°46′55″N 73°57′58″W﻿ / ﻿40.781944°N 73.966111°W﻿ / 40.781944; -73.966111﻿ (Central Park)",New York,The Green Lung of the city; one of the most visited city parks in the world; designed by Frederick Law Olmsted and Calvert Vaux.
19,Central Synagogue,Central Synagogue More images,"May 15, 1975
(#70000423)","Manhattan
 40°45′35″N 73°58′14″W﻿ / ﻿40.759592°N 73.970473°W﻿ / 40.759592; -73.970473﻿ (Central Synagogue)",New York,Oldest synagogue continuously in use by a New York City Jewish congregation; built in a Moorish Revival style to recognize importance of that period in Jewish history
20,Chamber of Commerce Building,Chamber of Commerce Building More images,"December 22, 1977
(#73001214)","Manhattan
 40°42′34″N 74°00′36″W﻿ / ﻿40.709434°N 74.009871°W﻿ / 40.709434; -74.009871﻿ (Chamber of Commerce Building)",New York,"Former home of the Chamber of Commerce of the State of New York, established in 1768; prototype for the chamber of commerce"
21,Chrysler Building,Chrysler Building More images,"December 8, 1976
(#76001237)","Manhattan
 40°45′06″N 73°58′31″W﻿ / ﻿40.7517°N 73.9753°W﻿ / 40.7517; -73.9753﻿ (Chrysler Building)",New York,Art Deco skyscraper; distinctive feature of Manhattan skyline; at one point world's tallest building
22,Church of the Ascension,Church of the Ascension More images,"December 23, 1987
(#87002593)","Manhattan
 40°44′01″N 73°59′44″W﻿ / ﻿40.733647°N 73.995492°W﻿ / 40.733647; -73.995492﻿ (Church of the Ascension)",New York,Early church design by Richard Upjohn; valuable interior artwork
23,City Hall,City Hall More images,"December 19, 1960
(#66000539)","Manhattan
 40°42′46″N 74°00′21″W﻿ / ﻿40.7127°N 74.0059°W﻿ / 40.7127; -74.0059﻿ (City Hall)",New York,Oldest city hall in U.S. still in use as main municipal government building
24,Conference House,Conference House More images,"May 23, 1966
(#66000566)","Tottenville
 40°30′11″N 74°15′11″W﻿ / ﻿40.503072°N 74.253159°W﻿ / 40.503072; -74.253159﻿ (Conference House)",Richmond,Only surviving pre-Revolutionary War manor house in New York City; site of unsuccessful peace conference in 1776
25,Will Marion Cook House,Will Marion Cook House,"May 11, 1976
(#76001238)","Manhattan
 40°49′05″N 73°56′35″W﻿ / ﻿40.818096°N 73.942924°W﻿ / 40.818096; -73.942924﻿ (Will Marion Cook House)",New York,Home of the leading black composer and musician Will Marion Cook
26,Cooper Union,Cooper Union More images,"July 4, 1961
(#66000540)","Manhattan
 40°43′46″N 73°59′26″W﻿ / ﻿40.729405°N 73.990417°W﻿ / 40.729405; -73.990417﻿ (Cooper Union)",New York,Pioneering adult education center; site of famous anti-slavery speech by Abraham Lincoln
27,Daily News Building,Daily News Building More images,"June 29, 1989
(#82001191)","Manhattan
 40°44′58″N 73°58′25″W﻿ / ﻿40.749544°N 73.973492°W﻿ / 40.749544; -73.973492﻿ (Daily News Building)",New York,First modern free-standing skyscraper designed by Raymond Hood
28,Dakota Apartments,Dakota Apartments More images,"December 8, 1976
(#72000869)","Manhattan
 40°46′36″N 73°58′35″W﻿ / ﻿40.776642°N 73.976269°W﻿ / 40.776642; -73.976269﻿ (Dakota Apartments)",New York,Combination of Renaissance architectural styles by Henry Hardenbergh; setting for Rosemary's Baby and the shooting death of John Lennon
29,Dyckman House,Dyckman House More images,"December 24, 1967
(#67000014)","Manhattan
 40°52′03″N 73°55′24″W﻿ / ﻿40.8674°N 73.9233°W﻿ / 40.8674; -73.9233﻿ (Dyckman House)",New York,Only remaining farmhouse in Manhattan
30,Eldridge Street Synagogue,Eldridge Street Synagogue More images,"June 19, 1996
(#80002687)","Manhattan
 40°42′54″N 73°59′38″W﻿ / ﻿40.715007°N 73.993982°W﻿ / 40.715007; -73.993982﻿ (Eldridge Street Synagogue)",New York,One of the oldest synagogues in the U.S.; first built by Jews from Eastern Europe
31,Duke Ellington House,Duke Ellington House More images,"May 11, 1976
(#76001239)","Manhattan
 40°49′56″N 73°56′27″W﻿ / ﻿40.832269°N 73.94096°W﻿ / 40.832269; -73.94096﻿ (Duke Ellington House)",New York,"Ellington, the legendary jazz composer and bandleader, lived in Apartment 4A from 1939 to 1961"
32,Empire State Building,Empire State Building More images,"June 24, 1986
(#82001192)","Manhattan
 40°44′54″N 73°59′08″W﻿ / ﻿40.748433°N 73.985694°W﻿ / 40.748433; -73.985694﻿ (Empire State Building)",New York,World's tallest building from 1931 to 1972 and internationally recognized symbol of New York City
33,Equitable Building,Equitable Building More images,"June 2, 1978
(#78001869)","Manhattan
 40°42′35″N 74°00′40″W﻿ / ﻿40.709722°N 74.011111°W﻿ / 40.709722; -74.011111﻿ (Equitable Building)",New York,One of the earliest skyscrapers in Manhattan; profoundly influenced later skyscraper design
34,Hamilton Fish House,Hamilton Fish House More images,"May 15, 1975
(#72001456)","Manhattan
 40°43′48″N 73°59′19″W﻿ / ﻿40.730052°N 73.988583°W﻿ / 40.730052; -73.988583﻿ (Hamilton Fish House)",New York,"Home of Hamilton Fish, future Governor and Senator of New York"
35,Flatiron Building,Flatiron Building More images,"June 29, 1989
(#79001603)","Manhattan
 40°44′28″N 73°59′23″W﻿ / ﻿40.741111°N 73.989722°W﻿ / 40.741111; -73.989722﻿ (Flatiron Building)",New York,Distinctive triangular building at Madison Square.
36,"Founder's Hall, The Rockefeller University","Founder's Hall, The Rockefeller University","May 30, 1974
(#74001269)","Manhattan
 40°45′45″N 73°57′18″W﻿ / ﻿40.762471°N 73.955074°W﻿ / 40.762471; -73.955074﻿ (Founder's Hall, The Rockefeller University)",New York,Building marked the start of John D. Rockefeller Jr.'s putting the vast family fortune to philanthropic purposes
37,The Frick Collection and Frick Art Reference Library Building,The Frick Collection and Frick Art Reference Library Building More images,"October 6, 2008
(#08001091)","Manhattan
 40°46′17″N 73°58′02″W﻿ / ﻿40.771261°N 73.967241°W﻿ / 40.771261; -73.967241﻿ (The Frick Collection and Frick Art Reference Library Building)",New York,
38,Governors Island,Governors Island More images,"February 4, 1985
(#85002435)","Manhattan
 40°41′29″N 74°00′58″W﻿ / ﻿40.691389°N 74.016111°W﻿ / 40.691389; -74.016111﻿ (Governors Island)",New York,Island in NY Harbor which served various branches of the US Military from 1783 until the late 1990s; now a park
39,Grace Church,Grace Church More images,"December 22, 1977
(#74001270)","Manhattan
 40°43′54″N 73°59′31″W﻿ / ﻿40.731667°N 73.991944°W﻿ / 40.731667; -73.991944﻿ (Grace Church)",New York,Gothic Revival masterpiece designed by James Renwick Jr.
40,Grand Central Terminal,Grand Central Terminal More images,"December 8, 1976
(#75001206)","Manhattan
 40°45′10″N 73°58′35″W﻿ / ﻿40.7528°N 73.976522°W﻿ / 40.7528; -73.976522﻿ (Grand Central Terminal)",New York,Beaux-Arts architecture; historic rail gateway to New York City; largest train station in the world by number of platforms
41,Green-Wood Cemetery,Green-Wood Cemetery More images,"September 20, 2006
(#97000228)","Brooklyn
 40°39′08″N 73°59′28″W﻿ / ﻿40.6522°N 73.9911°W﻿ / 40.6522; -73.9911﻿ (Green-Wood Cemetery)",Kings,Popular tourist attraction in the 1850s; most famous New Yorkers who died during the second half of the nineteenth century buried here
42,Hamilton Grange National Memorial,Hamilton Grange National Memorial More images,"December 19, 1960
(#66000097)","Manhattan
 40°49′17″N 73°56′50″W﻿ / ﻿40.821389°N 73.947222°W﻿ / 40.821389; -73.947222﻿ (Hamilton Grange National Memorial)",New York,"Home of Alexander Hamilton: military officer, lawyer, member of the United States Constitutional Convention, American statesman, first United States Secretary of the Treasury, and Founding Father"
43,Solomon R. Guggenheim Museum,Solomon R. Guggenheim Museum More images,"October 6, 2008
(#05000443)","Manhattan
 40°46′58″N 73°57′32″W﻿ / ﻿40.782883°N 73.958992°W﻿ / 40.782883; -73.958992﻿ (Solomon R. Guggenheim Museum)",New York,The only museum designed by Frank Lloyd Wright
44,Henry Street Settlement and Neighborhood Playhouse,Henry Street Settlement and Neighborhood Playhouse More images,"May 30, 1974
(#74001272)","Manhattan
 40°42′50″N 73°59′07″W﻿ / ﻿40.713889°N 73.985278°W﻿ / 40.713889; -73.985278﻿ (Henry Street Settlement and Neighborhood Playhouse)",New York,One of the nation's first settlement homes where new immigrants and the poor could find assistance
45,Matthew Henson Residence,Matthew Henson Residence,"May 15, 1975
(#75001207)","Manhattan
 40°49′32″N 73°56′20″W﻿ / ﻿40.825444°N 73.93875°W﻿ / 40.825444; -73.93875﻿ (Matthew Henson Residence)",New York,"Home of Matthew Henson, African-American polar explorer who may have been the first to reach the North Pole"
46,Hispanic Society of America,Hispanic Society of America More images,"October 17, 2012
(#12001009)","Manhattan
 40°50′01″N 73°56′47″W﻿ / ﻿40.833521°N 73.946514°W﻿ / 40.833521; -73.946514﻿ (Hispanic Society of America)",New York,Museum of Iberian Art
47,Holland Tunnel,Holland Tunnel More images,"November 4, 1993
(#93001619)","Manhattan
 40°43′39″N 74°01′17″W﻿ / ﻿40.7275°N 74.021389°W﻿ / 40.7275; -74.021389﻿ (Holland Tunnel)",New York,"Tunnel underneath the Hudson River, connecting Manhattan and New Jersey; civil engineering landmark; one of the earliest ventilated tunnels"
48,USS Intrepid,USS Intrepid More images,"January 14, 1986
(#86000082)","Manhattan
 40°45′53″N 74°00′04″W﻿ / ﻿40.7648°N 74.001°W﻿ / 40.7648; -74.001﻿ (USS Intrepid)",New York,One of the most active U.S. ships during World War II; today the Intrepid Museum moored along the West Side
49,James Weldon Johnson Residence,James Weldon Johnson Residence More images,"May 11, 1976
(#76001241)","Manhattan
 40°48′55″N 73°56′35″W﻿ / ﻿40.815278°N 73.943056°W﻿ / 40.815278; -73.943056﻿ (James Weldon Johnson Residence)",New York,Harlem home of African-American artist-activist James Weldon Johnson
50,King Manor,King Manor More images,"December 2, 1974
(#74001295)","Jamaica
 40°42′11″N 73°48′14″W﻿ / ﻿40.703021°N 73.80376°W﻿ / 40.703021; -73.80376﻿ (King Manor)",Queens,"Home of Rufus King, a signer of Declaration of Independence and early U.S. Senator from New York"
51,Lettie G. Howard (schooner),Lettie G. Howard (schooner) More images,"April 11, 1989
(#84002779)","Manhattan
 40°42′22″N 74°00′12″W﻿ / ﻿40.706111°N 74.003333°W﻿ / 40.706111; -74.003333﻿ (Lettie G. Howard (schooner))",New York,Last remaining Fredonia-type schooner (once the standard for American fishing boats) at the South Street Seaport
52,Lorillard Snuff Mill,Lorillard Snuff Mill More images,"December 22, 1977
(#77000935)","New York Botanical Garden
 40°51′35″N 73°52′34″W﻿ / ﻿40.859681°N 73.876174°W﻿ / 40.859681; -73.876174﻿ (Lorillard Snuff Mill)",Bronx,Oldest existing tobacco-manufacturing facility in U.S.
53,Low Memorial Library,Low Memorial Library More images,"December 23, 1987
(#87002599)","Columbia University
 40°48′30″N 73°57′43″W﻿ / ﻿40.80826°N 73.96188°W﻿ / 40.80826; -73.96188﻿ (Low Memorial Library)",New York,First building on Morningside Heights campus; capped by largest freestanding granite dome in U.S.
54,R. H. Macy and Company Store (Macy's),R. H. Macy and Company Store (Macy's) More images,"June 2, 1978
(#78001873)","Manhattan
 40°45′01″N 73°59′18″W﻿ / ﻿40.750278°N 73.988333°W﻿ / 40.750278; -73.988333﻿ (R. H. Macy and Company Store (Macy's))",New York,Largest department store in world for many years
55,McGraw-Hill Building,McGraw-Hill Building More images,"June 29, 1989
(#80002701)","Manhattan
 40°45′26″N 73°59′28″W﻿ / ﻿40.757222°N 73.991111°W﻿ / 40.757222; -73.991111﻿ (McGraw-Hill Building)",New York,Early Art Deco building; first U.S. building in International Style
56,Claude McKay Residence,Claude McKay Residence More images,"December 8, 1976
(#76002143)","Manhattan
 40°48′51″N 73°56′30″W﻿ / ﻿40.814167°N 73.94166°W﻿ / 40.814167; -73.94166﻿ (Claude McKay Residence)",New York,"The Harlem YMCA, whose residents included African-American writer Claude McKay"
57,Metropolitan Life Insurance Company Tower,Metropolitan Life Insurance Company Tower More images,"June 2, 1978
(#78001874)","Manhattan
 40°44′28″N 73°59′15″W﻿ / ﻿40.74124°N 73.9874°W﻿ / 40.74124; -73.9874﻿ (Metropolitan Life Insurance Company Tower)",New York,Tallest building in the world 1909-13; still part of the skyline a century later
58,Metropolitan Museum of Art,Metropolitan Museum of Art More images,"June 24, 1986
(#86003556)","Manhattan
 40°46′44″N 73°57′49″W﻿ / ﻿40.77891°N 73.96367°W﻿ / 40.77891; -73.96367﻿ (Metropolitan Museum of Art)",New York,"The Fifth Avenue building of the Metropolitan Museum of Art, one of the world's most important and prestigious art museums"
59,J. Pierpont Morgan Library,J. Pierpont Morgan Library More images,"November 13, 1966
(#66000544)","Manhattan
 40°44′56″N 73°58′54″W﻿ / ﻿40.748803°N 73.981556°W﻿ / 40.748803; -73.981556﻿ (J. Pierpont Morgan Library)",New York,"Office, Library, and now Museum of J. P. Morgan; the Panic of 1907 ended in the Library"
60,Morris-Jumel Mansion,Morris-Jumel Mansion More images,"January 20, 1961
(#66000545)","Manhattan
 40°50′04″N 73°56′19″W﻿ / ﻿40.834528°N 73.938611°W﻿ / 40.834528; -73.938611﻿ (Morris-Jumel Mansion)",New York,Oldest residential building in Manhattan
61,National City Bank Building,National City Bank Building More images,"June 2, 1978
(#78001875)","Manhattan
 40°42′22″N 74°00′33″W﻿ / ﻿40.706039°N 74.009174°W﻿ / 40.706039; -74.009174﻿ (National City Bank Building)",New York,Home to one of the country's largest and most important banks since 1908
62,New York Amsterdam News Building,New York Amsterdam News Building More images,"May 11, 1976
(#76001247)","Manhattan
 40°48′54″N 73°56′41″W﻿ / ﻿40.814944°N 73.94472°W﻿ / 40.814944; -73.94472﻿ (New York Amsterdam News Building)",New York,Influential black newspaper the New York Amsterdam News was published here 1916-38
63,New York Botanical Garden,New York Botanical Garden More images,"May 28, 1967
(#67000009)","Bronx
 40°51′49″N 73°52′42″W﻿ / ﻿40.863611°N 73.878333°W﻿ / 40.863611; -73.878333﻿ (New York Botanical Garden)",Bronx,"One of the world's leading botanical gardens, with the largest herbarium in the U.S. and second largest in the world after the French National Museum of Natural History and home to many plant laboratories"
64,New York Cotton Exchange,New York Cotton Exchange More images,"December 22, 1977
(#72001586)","Manhattan
 40°42′16″N 74°00′37″W﻿ / ﻿40.704444°N 74.010167°W﻿ / 40.704444; -74.010167﻿ (New York Cotton Exchange)",New York,First commodity market in the U.S.; now 1 Hanover Square
65,New York Life Building,New York Life Building More images,"June 2, 1978
(#78001876)","Manhattan
 40°44′34″N 73°59′08″W﻿ / ﻿40.742778°N 73.985556°W﻿ / 40.742778; -73.985556﻿ (New York Life Building)",New York,Last significant Cass Gilbert skyscraper in Manhattan
66,New York Public Library,New York Public Library More images,"December 21, 1965
(#66000546)","Manhattan
 40°45′12″N 73°58′56″W﻿ / ﻿40.753333°N 73.982222°W﻿ / 40.753333; -73.982222﻿ (New York Public Library)",New York,One of the largest and most important libraries in the U.S.; listing is for main branch building.
67,New York Stock Exchange,New York Stock Exchange More images,"June 2, 1978
(#78001877)","Manhattan
 40°42′25″N 74°00′40″W﻿ / ﻿40.706833°N 74.011028°W﻿ / 40.706833; -74.011028﻿ (New York Stock Exchange)",New York,One of the first securities markets in the U.S.; still the world's largest
68,"New York Studio School of Drawing, Painting and Sculpture","New York Studio School of Drawing, Painting and Sculpture More images","April 27, 1992
(#92001877)","Manhattan
 40°43′59″N 73°59′54″W﻿ / ﻿40.73295°N 73.998306°W﻿ / 40.73295; -73.998306﻿ (New York Studio School of Drawing, Painting and Sculpture)",New York,"Original home of the Whitney Museum, the first devoted to 20th-century American art"
69,New York Yacht Club,New York Yacht Club More images,"May 28, 1987
(#82001203)","Manhattan
 40°45′20″N 73°58′54″W﻿ / ﻿40.755556°N 73.981556°W﻿ / 40.755556; -73.981556﻿ (New York Yacht Club)",New York,Oldest yachting club in U.S.; longtime home of the America's Cup
70,Old Merchant's House,Old Merchant's House More images,"June 23, 1965
(#66000548)","Manhattan
 40°43′39″N 73°59′33″W﻿ / ﻿40.7276°N 73.992386°W﻿ / 40.7276; -73.992386﻿ (Old Merchant's House)",New York,Nineteenth-century family home; preserved inside and out
71,Old Quaker Meeting House,Old Quaker Meeting House More images,"December 24, 1967
(#67000015)","Flushing
 40°45′47″N 73°49′49″W﻿ / ﻿40.763028°N 73.830365°W﻿ / 40.763028; -73.830365﻿ (Old Quaker Meeting House)",Queens,Only surviving 17th-century ecclesiastical frame building in New York; in almost continuous use since 1696
72,Philosophy Hall,Philosophy Hall More images,"July 21, 2003
(#03001046)","Columbia University
 40°48′22″N 73°57′45″W﻿ / ﻿40.806111°N 73.9625°W﻿ / 40.806111; -73.9625﻿ (Philosophy Hall)",New York,Edwin Armstrong developed FM radio in this Columbia University building
73,Players Club,Players Club More images,"December 19, 1962
(#66000549)","Manhattan
 40°44′15″N 73°59′13″W﻿ / ﻿40.737503°N 73.987058°W﻿ / 40.737503; -73.987058﻿ (Players Club)",New York,Extensive collection of art and theater memorabilia; interior redone by Stanford White
74,Plaza Hotel,Plaza Hotel More images,"June 24, 1986
(#78001878)","Manhattan
 40°45′53″N 73°58′28″W﻿ / ﻿40.764712°N 73.974574°W﻿ / 40.764712; -73.974574﻿ (Plaza Hotel)",New York,French Renaissance-style building; outstanding example of American hotel architecture; symbol of elegance; visible from much of lower Central Park; setting for Kay Thompson's popular Eloise series of children's books
75,Plymouth Church of the Pilgrims,Plymouth Church of the Pilgrims More images,"July 4, 1961
(#66000525)","Brooklyn
 40°41′57″N 73°59′37″W﻿ / ﻿40.699272°N 73.993556°W﻿ / 40.699272; -73.993556﻿ (Plymouth Church of the Pilgrims)",Kings,Important station on Underground Railroad when Henry Ward Beecher was pastor
76,"Pupin Physics Laboratory, Columbia University","Pupin Physics Laboratory, Columbia University More images","December 21, 1965
(#66000550)","Columbia University
 40°48′36″N 73°57′42″W﻿ / ﻿40.810064°N 73.961533°W﻿ / 40.810064; -73.961533﻿ (Pupin Physics Laboratory, Columbia University)",New York,Columbia University building; site of first splitting of uranium atom in U.S. and other milestones in development of atomic bomb
77,"Quarters A, Brooklyn Navy Yard","Quarters A, Brooklyn Navy Yard","May 30, 1974
(#74001252)","Brooklyn
 40°42′09″N 73°58′52″W﻿ / ﻿40.702494°N 73.981114°W﻿ / 40.702494; -73.981114﻿ (Quarters A, Brooklyn Navy Yard)",Kings,Home to Matthew Perry at the time of his opening of Japan
78,Paul Robeson Home,Paul Robeson Home More images,"December 8, 1976
(#76001248)","Manhattan
 40°50′04″N 73°56′20″W﻿ / ﻿40.834361°N 73.938972°W﻿ / 40.834361; -73.938972﻿ (Paul Robeson Home)",New York,Home of legendary African-American actor and activist Paul Robeson
79,Jackie Robinson House,Jackie Robinson House,"May 11, 1976
(#76001226)","Brooklyn
 40°38′54″N 73°54′54″W﻿ / ﻿40.648292°N 73.915081°W﻿ / 40.648292; -73.915081﻿ (Jackie Robinson House)",Kings,Home of baseball great Jackie Robinson
80,Rockefeller Center,Rockefeller Center More images,"December 23, 1987
(#87002591)","Manhattan
 40°45′31″N 73°58′45″W﻿ / ﻿40.758611°N 73.979167°W﻿ / 40.758611; -73.979167﻿ (Rockefeller Center)",New York,Successful urban planning project of 20th-century America; changed Midtown Manhattan; originating site of popular NBC television programs Today and Saturday Night Live
81,Sailors' Snug Harbor,Sailors' Snug Harbor More images,"December 8, 1976
(#72000909)","Sailors' Snug Harbor
 40°38′33″N 74°06′10″W﻿ / ﻿40.6425°N 74.102778°W﻿ / 40.6425; -74.102778﻿ (Sailors' Snug Harbor)",Richmond,First and only home for retired merchant seamen in U.S.
82,St. Ann and the Holy Trinity Church,St. Ann and the Holy Trinity Church More images,"December 23, 1987
(#87002590)","Brooklyn
 40°41′40″N 73°59′35″W﻿ / ﻿40.694583°N 73.992975°W﻿ / 40.694583; -73.992975﻿ (St. Ann and the Holy Trinity Church)",Kings,Site of first figural stained-glass windows in U.S.
83,St. George's Episcopal Church,St. George's Episcopal Church More images,"December 8, 1976
(#76001249)","Manhattan
 40°44′04″N 73°59′06″W﻿ / ﻿40.734397°N 73.984964°W﻿ / 40.734397; -73.984964﻿ (St. George's Episcopal Church)",New York,"Home church of Harry Thacker Burleigh, African-American singer who helped establish the spiritual in the liturgy of many American faiths"
84,St. Patrick's Cathedral,St. Patrick's Cathedral More images,"December 8, 1976
(#76001250)","Manhattan
 40°45′31″N 73°58′35″W﻿ / ﻿40.758611°N 73.976389°W﻿ / 40.758611; -73.976389﻿ (St. Patrick's Cathedral)",New York,First large-scale medieval-style church built in U.S.
85,St. Paul's Chapel,St. Paul's Chapel More images,"October 9, 1960
(#66000551)","Manhattan
 40°42′41″N 74°00′36″W﻿ / ﻿40.711394°N 74.009947°W﻿ / 40.711394; -74.009947﻿ (St. Paul's Chapel)",New York,One of the few surviving colonial-era churches in city; George Washington worshipped here following his inauguration; site of informal memorials following September 11 attacks
86,Margaret Sanger Clinic,Margaret Sanger Clinic More images,"September 14, 1993
(#93001599)","Manhattan
 40°44′17″N 73°59′39″W﻿ / ﻿40.738056°N 73.994167°W﻿ / 40.738056; -73.994167﻿ (Margaret Sanger Clinic)",New York,Clinic where Margaret Sanger dispensed birth control
87,Schomburg Center for Research in Black Culture,Schomburg Center for Research in Black Culture More images,"December 23, 2016
(#100000798)","Harlem
 40°48′52″N 73°56′29″W﻿ / ﻿40.814444°N 73.941389°W﻿ / 40.814444; -73.941389﻿ (Schomburg Center for Research in Black Culture)",New York,Research library of the New York Public Library (NYPL) and an archive repository for information on people of African descent worldwide.
88,Gen. Winfield Scott House,Gen. Winfield Scott House More images,"November 7, 1973
(#73001222)","Manhattan
 40°44′06″N 73°59′45″W﻿ / ﻿40.735°N 73.995833°W﻿ / 40.735; -73.995833﻿ (Gen. Winfield Scott House)",New York,"Home of Winfield Scott, heroic general in the U.S.-Mexican War and later presidential candidate"
89,Seventh Regiment Armory,Seventh Regiment Armory More images,"February 24, 1986
(#75001208)","Manhattan
 40°46′03″N 73°57′58″W﻿ / ﻿40.7675°N 73.966111°W﻿ / 40.7675; -73.966111﻿ (Seventh Regiment Armory)",New York,One of the most impressive collections of 1880s interior decoration outside of a museum; only armory actually owned by the unit for which it was constructed
90,Harry F. Sinclair House,Harry F. Sinclair House More images,"June 2, 1978
(#78001882)","Manhattan
 40°46′36″N 73°57′49″W﻿ / ﻿40.77675°N 73.963611°W﻿ / 40.77675; -73.963611﻿ (Harry F. Sinclair House)",New York,"Harry F. Sinclair, the oil industrialist, lived here from 1918 to 1930; now part of the Ukrainian Institute; often used in filmmaking and television production"
